ZipCode,Latitude,Longitude
00501,40.922321,-72.637069
00544,40.922321,-72.637069
00601,18.180554,-66.74996
00602,18.362268,-67.17613
00603,18.455183,-67.119887
00606,18.158345,-66.932911
00610,18.290955,-67.125867
00612,18.402239,-66.711399
00616,18.420411,-66.671978
00617,18.445146,-66.559696
00622,17.991244,-67.153992
00623,18.083435,-67.153876
00624,18.063275,-66.715965
00627,18.41503,-66.861879
00631,18.190606,-66.832041
00637,18.076713,-66.947389
00638,18.291087,-66.513306
00641,18.262962,-66.71402
00646,18.433167,-66.28594
00647,17.963612,-66.947126
00650,18.349416,-66.578079
00652,18.451934,-66.603112
00653,17.985451,-66.888932
00656,18.053539,-66.79293
00659,18.407222,-66.809008
00660,18.134644,-67.116157
00662,18.46748,-67.015973
00664,18.213418,-66.589613
00667,18.003422,-67.035809
00669,18.270899,-66.866375
00670,18.236831,-66.990114
00674,18.422907,-66.489337
00676,18.37775,-67.080343
00677,18.33256,-67.227006
00678,18.434098,-66.927384
00680,18.181937,-67.133802
00682,18.221443,-67.156062
00683,18.1078,-67.037262
00685,18.332927,-66.959874
00687,18.318386,-66.418034
00688,18.382263,-66.626437
00690,18.495509,-67.09867
00692,18.410188,-66.336556
00693,18.423024,-66.397229
00694,18.482369,-66.391079
00698,18.064848,-66.856318
00703,18.248401,-66.130662
00704,17.965769,-66.219554
00705,18.128961,-66.266683
00707,18.013647,-65.920711
00714,18.000198,-66.042942
00715,18.011233,-66.560064
00716,17.990566,-66.607541
00717,18.003222,-66.614036
00718,18.231988,-65.759623
00719,18.289926,-66.253439
00720,18.217946,-66.428076
00723,18.043821,-66.015578
00725,18.218818,-66.042375
00727,18.215308,-66.073565
00728,17.989853,-66.664116
00729,18.329829,-65.885142
00730,18.03083,-66.616838
00731,18.108039,-66.634653
00735,18.252604,-65.682494
00736,18.103623,-66.151667
00738,18.304458,-65.698711
00739,18.177264,-66.160577
00740,18.33116,-65.634119
00741,18.163744,-65.75402
00745,18.35284,-65.817813
00751,18.001317,-66.252183
00754,18.14713,-65.976288
00757,17.99544,-66.391334
00765,18.130096,-65.439368
00766,18.133196,-66.476916
00767,18.069413,-65.89649
00769,18.103799,-66.357585
00771,18.187201,-65.871195
00772,18.438969,-65.905174
00773,18.343799,-65.726377
00775,18.327484,-65.295976
00777,18.224132,-65.908541
00778,18.263023,-65.979078
00780,18.102834,-66.568105
00782,18.225708,-66.221632
00783,18.303909,-66.326178
00784,18.010721,-66.133612
00786,18.155424,-66.229906
00791,18.136752,-65.821487
00794,18.199013,-66.309781
00795,18.060531,-66.499472
00901,18.465423,-66.104723
00906,18.464459,-66.094994
00907,18.452678,-66.078113
00909,18.44161,-66.067132
00911,18.451128,-66.056223
00912,18.445288,-66.060139
00913,18.44997,-66.042664
00915,18.437179,-66.04557
00917,18.420674,-66.050105
00918,18.421022,-66.065788
00920,18.414291,-66.088042
00921,18.392272,-66.088552
00923,18.409306,-66.038888
00924,18.399195,-66.012451
00925,18.400296,-66.050601
00926,18.3454,-66.051545
00927,18.387952,-66.072097
00934,18.411312,-66.124234
00936,18.395462,-66.073772
00949,18.430696,-66.212833
00950,18.463692,-66.234559
00951,18.42753,-66.253788
00952,18.427441,-66.182032
00953,18.360727,-66.251525
00956,18.319538,-66.168891
00957,18.368532,-66.187692
00959,18.388923,-66.154999
00960,18.416919,-66.145795
00961,18.41223,-66.165167
00962,18.442298,-66.145357
00965,18.433756,-66.114751
00966,18.401536,-66.117583
00968,18.406076,-66.101223
00969,18.368061,-66.108062
00971,18.318832,-66.119214
00976,18.336407,-65.994056
00979,18.444389,-66.030129
00982,18.41126,-65.992045
00983,18.418006,-65.977069
00985,18.408588,-65.946933
00987,18.33816,-65.941083
01001,42.062331,-72.628274
01002,42.363976,-72.458506
01003,42.389941,-72.524107
01004,42.38449,-72.513183
01005,42.418847,-72.106598
01007,42.279009,-72.400468
01008,42.191845,-72.957324
01009,42.211969,-72.341432
01010,42.129477,-72.205302
01011,42.30028,-72.968716
01012,42.375424,-72.858192
01013,42.154904,-72.602804
01014,42.17073,-72.604843
01020,42.172697,-72.561835
01021,42.17073,-72.604843
01022,42.197741,-72.542713
01026,42.465494,-72.918267
01027,42.295008,-72.751876
01028,42.059614,-72.501233
01029,42.193395,-73.044646
01030,42.072924,-72.686971
01031,42.329397,-72.198189
01032,42.457613,-72.814779
01033,42.244957,-72.500033
01034,42.098207,-72.961271
01035,42.356481,-72.568575
01036,42.062945,-72.417297
01037,42.367961,-72.18871
01038,42.385496,-72.606928
01039,42.404277,-72.688922
01040,42.211655,-72.642448
01041,42.17073,-72.604843
01050,42.286749,-72.869692
01053,42.356301,-72.713583
01054,42.469588,-72.484502
01056,42.188864,-72.459078
01057,42.093595,-72.321494
01059,42.36956,-72.635986
01060,42.321488,-72.630588
01061,42.36956,-72.635986
