PRVDR_NUM_MOD,PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,CITY_NAME,FAC_NAME,STATE_CD,ST_ADR,PHNE_NUM,PGM_TRMNTN_CD,ZIP_CD,FIPS_CNTY_CD,BED_CNT,FAX_PHNE_NUM,MDCD_MDCR_PRTCPTG_PRVDR_SW,MLT_FAC_ORG_NAME,MLT_OWND_FAC_ORG_SW,DCTD_ER_SRVC_CD,SHCK_TRMA_SRVC_CD,EMPLEE_CNT,URGNT_CARE_SRVC_CD,PHYSN_CNTRCTR_SW,LAB_SRVC_CD,DGNSTC_XRAY_ONST_NRSDNT_SW,PED_SRVC_CD,PHRMCY_SRVC_CD,PED_ICU_SRVC_CD,LATITUDE,LONGITUDE
'120026',1,1,AIEA,PALI MOMI MEDICAL CENTER,HI,98-1079 MOANALUA ROAD,8084866000,0,96701,3,116,,Y,,,1,0,,0,,,,1,1,0,21.383779,-157.937582
'120001',1,1,HONOLULU,THE QUEENS MEDICAL CENTER,HI,1301 PUNCHBOWL ST,8085389011,0,96813,3,585,8085474018,Y,,,1,1,,1,,,,1,1,0,21.307577,-157.855232
'123300',6,1,HONOLULU,KAPIOLANI MEDICAL CENTER FOR WOMEN & CHILDREN,HI,1319 PUNAHOU STREET,8089836000,0,96826,3,207,8089838071,Y,,,1,0,,0,,,,1,1,1,21.300394,-157.834243
'121302',11,1,KAPAAU,KOHALA HOSPITAL,HI,54-383 HOSPITAL ROAD,8088896211,0,96755,1,4,8088896978,Y,,,3,0,,0,,,,0,3,0,20.231737,-155.797253
'021313',11,1,HOMER,SOUTH PENINSULA HOSPITAL,AK,4300 BARTLETT ST,9072358101,0,99603,120,22,9072350253,Y,,,1,1,,1,,,,1,1,0,59.652133,-151.550296
'381322',11,1,GOLD BEACH,CURRY GENERAL HOSPITAL,OR,94220 FOURTH STREET,5412473000,0,97444,15,24,5412473101,Y,,,1,1,,1,,,,1,1,0,42.41164,-124.418221
'381304',11,1,BANDON,SOUTHERN COOS HOSPITAL & HEALTH CENTER,OR,900 11TH STREET SE,5413472426,0,97411,11,24,5413470507,Y,,,3,0,,0,,,,0,3,0,43.113244,-124.402426
'500031',1,1,ABERDEEN,GRAYS HARBOR COMMUNITY HOSPITAL,WA,915 ANDERSON DRIVE,3605328330,0,98520,27,70,5098431234,Y,,,1,0,,0,,,,1,1,0,46.9796,-123.846387
'381308',11,1,DALLAS,SALEM HEALTH WEST VALLEY,OR,525 SE WASHINGTON STREET,5036238301,0,97338,53,25,5038313485,Y,,,3,3,,0,,,,0,3,0,44.919407,-123.310687
'380014',1,1,CORVALLIS,GOOD SAMARITAN REGIONAL MEDICAL CENTER,OR,3600 NW SAMARITAN DRIVE,5417685111,0,97330,3,188,5417685100,Y,,,1,1,,0,,,,1,1,1,44.604624,-123.251104
'501336',11,1,SHELTON,MASON GENERAL HOSPITAL & FAMILY OF CLINICS,WA,901 MT VIEW DRIVE,3604261611,0,98584,45,25,3604271921,Y,,,3,1,,0,,,,1,1,0,47.226809,-123.115129
'380033',1,1,EUGENE,SACRED HEART UNIVERSITY DISTRICT,OR,1255 HILYARD STREET,5416867300,0,97401,39,104,5416863699,Y,,,3,0,,0,,,,0,1,0,44.046056,-123.082105
'381301',11,1,COTTAGE GROVE,PEACEHEALTH COTTAGE GROVE COMMUNITY MEDICAL CENTER,OR,1515 VILLAGE DRIVE,5417675500,0,97424,39,11,5417675208,Y,,,1,0,,0,,,,0,2,0,43.803841,-123.038615
'501340',11,1,FRIDAY HARBOR,PEACEHEALTH PEACE ISLAND MEDICAL CENTER,WA,1117 SPRING STREET,3603782141,0,98250,55,10,,Y,,,1,1,,0,,,,0,1,0,48.529857,-123.028171
'380021',1,1,HILLSBORO,TUALITY COMMUNITY HOSPITAL,OR,335 SE 8TH AVENUE,5036811111,0,97123,67,215,5036811608,Y,,,1,0,,1,,,,0,1,0,45.519623,-122.97731
'500139',1,1,OLYMPIA,CAPITAL MEDICAL CENTER,WA,3900 CAPITAL MALL DR SW,3607545858,0,98502,67,110,3609562574,Y,,,1,0,,0,,,,0,1,0,47.041666,-122.951446
'500041',1,1,LONGVIEW,PEACHEALTH ST JOHN MEDICAL CENTER,WA,1615 DELAWARE STREET,3604142000,0,98632,15,368,3604147550,Y,,,3,0,,0,,,,1,1,0,46.130992,-122.941192
'051315',11,1,WEAVERVILLE,TRINITY HOSPITAL,CA,60 EASTER AVENUE,5306235541,0,96093,105,25,,Y,,,2,0,,0,,,,0,1,0,40.737579,-122.939444
'380037',1,1,NEWBERG,PROVIDENCE NEWBERG MEDICAL CENTER,OR,1001 PROVIDENCE DRIVE,5035371555,0,97132,71,40,5035371811,Y,,,1,0,,0,,,,1,1,0,45.308552,-122.933913
'381323',11,1,LEBANON,SAMARITAN LEBANON COMMUNITY HOSPITAL,OR,525 N SANTIAM HIGHWAY,5412582101,0,97355,43,49,5414517862,Y,,,1,3,,1,,,,1,1,0,44.55059,-122.908439
